base_rent,qm,plz,rent_per_qm,data_set
650.00,30.00,10551,21.67,immoscout
720.00,48.00,12167,15.00,immoscout
3058.60,203.10,10178,15.06,immoscout
1539.00,81.00,10115,19.00,immoscout
6062.05,391.10,10178,15.50,immoscout
630.00,66.14,13585,9.53,immoscout
3617.60,190.40,10178,19.00,immoscout
1287.00,58.50,10178,22.00,immoscout
3216.57,185.50,10178,17.34,immoscout
3495.74,190.40,10178,18.36,immoscout
2448.00,150.00,10178,16.32,immoscout
1915.50,127.70,10178,15.00,immoscout
2320.00,230.00,14052,10.09,immoscout
2385.00,180.00,14163,13.25,immoscout
483.40,54.67,13089,8.84,immoscout
695.56,70.00,10249,9.94,immoscout
330.56,45.00,12055,7.35,immoscout
3000.00,130.00,10435,23.08,immoscout
2159.00,135.00,13156,15.99,immoscout
3000.00,130.00,10435,23.08,immoscout
224.68,29.22,12559,7.69,immoscout
376.87,59.82,12459,6.30,immoscout
293.24,48.55,13059,6.04,immoscout
949.55,59.31,10785,16.01,immoscout
590.00,62.03,10407,9.51,immoscout
544.32,64.60,13593,8.43,immoscout
575.62,81.77,13589,7.04,immoscout
457.04,52.72,13583,8.67,immoscout
680.00,68.00,12353,10.00,immoscout
1035.00,114.50,13347,9.04,immoscout
650.00,55.00,12524,11.82,immoscout
530.75,39.42,12555,13.46,immoscout
3944.00,215.00,10823,18.34,immoscout
4199.00,226.00,10823,18.58,immoscout
795.90,88.63,12203,8.98,immoscout
323.15,55.80,12349,5.79,immoscout
780.00,21.00,10557,37.14,immoscout
942.50,72.50,12555,13.00,immoscout
500.80,87.05,12687,5.75,immoscout
319.94,52.97,12687,6.04,immoscout
1479.52,105.68,14059,14.00,immoscout
494.41,43.87,13088,11.27,immoscout
1020.00,64.00,10711,15.94,immoscout
1060.00,106.00,12307,10.00,immoscout
820.00,78.03,10559,10.51,immoscout
1710.00,116.00,10711,14.74,immoscout
1425.00,85.00,10117,16.76,immoscout
1375.00,73.00,10115,18.84,immoscout
410.00,41.00,12526,10.00,immoscout
500.00,23.00,10247,21.74,immoscout
286.66,47.46,12685,6.04,immoscout
644.00,56.00,13055,11.50,immoscout
764.85,50.99,12459,15.00,immoscout
644.00,56.00,13055,11.50,immoscout
460.37,48.46,12555,9.50,immoscout
804.73,81.04,13158,9.93,immoscout
650.00,55.49,12247,11.71,immoscout
337.75,56.90,13583,5.94,immoscout
664.00,63.20,12163,10.51,immoscout
975.00,65.00,14193,15.00,immoscout
825.00,90.00,13467,9.17,immoscout
720.00,60.00,13088,12.00,immoscout
890.00,25.62,10785,34.74,immoscout
1059.00,50.00,10693,21.18,immoscout
890.00,24.69,10785,36.05,immoscout
1170.00,78.00,13469,15.00,immoscout
1145.00,121.00,12557,9.46,immoscout
460.00,19.35,13347,23.77,immoscout
515.00,28.00,13353,18.39,immoscout
460.00,19.50,13347,23.59,immoscout
495.38,29.14,12459,17.00,immoscout
2289.75,107.50,10557,21.30,immoscout
2173.57,111.18,10557,19.55,immoscout
2399.65,117.63,10557,20.40,immoscout
454.12,49.96,14163,9.09,immoscout
302.12,50.00,13059,6.04,immoscout
360.32,65.50,10315,5.50,immoscout
374.89,68.00,10319,5.51,immoscout
340.88,60.50,13125,5.63,immoscout
281.01,47.50,10319,5.92,immoscout
411.23,75.00,10319,5.48,immoscout
429.55,62.50,10319,6.87,immoscout
395.41,70.00,13051,5.65,immoscout
379.30,58.00,13125,6.54,immoscout
366.54,68.50,10319,5.35,immoscout
272.33,46.00,13057,5.92,immoscout
444.14,54.50,13059,8.15,immoscout
465.59,27.98,12459,16.64,immoscout
1733.25,115.55,10967,15.00,immoscout
404.64,67.44,13589,6.00,immoscout
698.31,73.99,10249,9.44,immoscout
1034.00,94.00,10589,11.00,immoscout
498.76,69.33,12157,7.19,immoscout
327.23,29.48,10315,11.10,immoscout
531.49,88.33,10367,6.02,immoscout
1384.74,153.86,10319,9.00,immoscout
376.66,48.29,10369,7.80,immoscout
333.29,43.10,12107,7.73,immoscout
242.24,29.48,10315,8.22,immoscout
473.61,54.88,10315,8.63,immoscout
420.66,52.03,14193,8.08,immoscout
800.00,19.94,10439,40.12,immoscout
830.00,47.65,13347,17.42,immoscout
676.00,68.10,13086,9.93,immoscout
859.00,76.00,12587,11.30,immoscout
995.00,111.00,12487,8.96,immoscout
1809.22,95.98,10557,18.85,immoscout
640.00,70.00,12209,9.14,immoscout
634.12,52.33,13437,12.12,immoscout
528.69,58.91,13437,8.97,immoscout
490.31,58.51,12557,8.38,immoscout
297.07,49.43,12557,6.01,immoscout
333.34,51.68,12557,6.45,immoscout
246.61,35.28,12557,6.99,immoscout
250.24,35.80,12557,6.99,immoscout
245.65,40.27,12557,6.10,immoscout
318.55,52.74,12557,6.04,immoscout
470.00,43.00,10553,10.93,immoscout
850.00,30.14,10178,28.20,immoscout
750.00,53.00,10245,14.15,immoscout
666.00,68.00,12247,9.79,immoscout
1722.00,123.00,13086,14.00,immoscout
1618.54,115.61,10249,14.00,immoscout
2052.76,108.04,10179,19.00,immoscout
